City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Araguaina,BR,-7.1911,-48.2072,79.12,77,100,2.75,overcast clouds
189,Mar Del Plata,AR,-38.0023,-57.5575,61.09,70,100,7.0,light rain
190,Kempsey,AU,-31.0833,152.8333,76.95,42,0,7.0,clear sky
191,Camacha,PT,33.0833,-16.3333,65.62,88,20,6.91,few clouds
192,Gerash,IR,27.6652,54.1371,68.05,25,94,0.47,overcast clouds
193,Torbay,CA,47.6666,-52.7314,45.75,61,3,5.01,clear sky
194,Khatanga,RU,71.9667,102.5,-2.63,93,96,3.87,overcast clouds
195,Agbor,NG,6.2518,6.1934,76.37,88,99,2.68,overcast clouds
196,Matara,LK,5.9485,80.5353,75.81,86,49,2.71,scattered clouds
197,Tazovskiy,RU,67.4667,78.7,26.13,95,92,18.66,light snow
198,Ribeira Grande,PT,38.5167,-28.7,58.77,66,0,7.0,clear sky
199,Brae,GB,60.3964,-1.353,52.88,88,63,22.97,broken clouds
200,The Valley,AI,18.217,-63.0578,82.09,78,94,16.28,overcast clouds
201,Dudinka,RU,69.4058,86.1778,20.93,94,100,18.23,light snow
202,Svetlyy,RU,54.675,20.1347,55.45,88,76,11.27,broken clouds
203,Chuy,UY,-33.6971,-53.4616,64.76,73,15,8.23,few clouds
204,Hamilton,US,39.1834,-84.5333,59.22,59,6,4.92,clear sky
205,Yauya,PE,-8.9833,-77.3,50.95,78,92,0.83,light rain
206,Nizwa,OM,22.9333,57.5333,73.56,39,5,2.19,clear sky
207,Airai,TL,-8.9266,125.4092,70.25,64,90,0.96,overcast clouds
208,Khandbari,NP,27.3747,87.2039,58.33,71,1,4.0,clear sky
209,Port Elizabeth,ZA,-33.918,25.5701,64.09,88,93,13.0,overcast clouds
210,Thompson,CA,55.7435,-97.8558,37.35,80,53,9.48,broken clouds
211,Warrington,GB,53.3925,-2.5802,54.86,89,82,1.99,broken clouds
212,Victor Harbor,AU,-35.5667,138.6167,63.0,60,23,4.0,few clouds
213,Vestmanna,FO,62.1564,-7.1664,47.32,81,100,11.5,overcast clouds
214,Douentza,ML,14.9951,-2.9517,78.93,16,1,6.78,clear sky
215,Ventspils,LV,57.3894,21.5606,53.53,100,100,10.36,overcast clouds
216,Komsomolskiy,UZ,40.4272,71.7189,52.52,76,94,4.61,overcast clouds
217,Qaanaaq,GL,77.484,-69.3632,-2.67,71,17,8.19,few clouds
218,Khor,RU,47.8861,134.9464,36.55,72,6,7.29,clear sky
219,Kieta,PG,-6.2167,155.6333,84.63,71,83,4.32,broken clouds
220,Yima,CN,34.7381,111.8839,52.38,79,99,7.11,overcast clouds
221,Rawson,AR,-43.3002,-65.1023,58.93,24,100,27.4,overcast clouds
222,Mount Isa,AU,-20.7333,139.5,85.77,21,3,11.5,clear sky
