,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Bendigo,AU,55.63,scattered clouds,-36.7667,144.2833,The Hotel Shamrock
388,Ust-Maya,RU,23.59,overcast clouds,60.4167,134.5333,
389,Te Anau,NZ,63.57,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
390,Anchorage,US,27.32,overcast clouds,61.2181,-149.9003,Hotel Captain Cook
391,Half Moon Bay,US,67.44,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
392,Aripuana,BR,73.11,overcast clouds,-9.1667,-60.6333,
393,Calvinia,ZA,64.92,scattered clouds,-31.4707,19.776,Die Lemoenhuis
396,Hirado,JP,66.38,broken clouds,33.3597,129.5531,Samson Hotel
397,Jingdezhen,CN,61.3,overcast clouds,29.2947,117.2079,Garden Hotel
398,Carnduff,CA,46.38,overcast clouds,49.1667,-101.8009,Western Star All Suites Hotel Carnduff
399,Corinto,GR,63.9,clear sky,37.9407,22.9573,Ephira Hotel
400,Garden City,US,50.83,scattered clouds,42.3256,-83.331,Big Trees Mobile Home Community
401,Namibe,AO,70.5,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
402,Constitucion,CL,54.79,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
403,Barcelos,PT,68.68,moderate rain,41.5388,-8.6151,Hotel Do Terço
404,Roald,NO,57.76,drizzle,62.5833,6.1333,Flem Cabins
405,Goma,CD,62.96,broken clouds,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
409,Ulladulla,AU,67.1,clear sky,-35.35,150.4667,Sandpiper Motel
411,Pahrump,US,69.51,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
412,Shaunavon,CA,48.79,broken clouds,49.6501,-108.4181,Bear's Den Lodge
416,Hyeres,FR,68.68,clear sky,43.1167,6.1167,ibis budget Hyères Centre-Ville
417,Datong,CN,48.06,light rain,40.0936,113.2914,Holiday Inn Datong City Centre
418,Labranzagrande,CO,68.47,overcast clouds,5.5622,-72.575,Hotel Casa Grande
419,Oktyabrskoye,RU,44.74,light intensity drizzle,43.0645,44.7417,Prolesok Mini-hotel
420,Cao Bang,VN,69.53,broken clouds,22.6667,106.25,khách sạn 88
421,Uong Bi,VN,73.38,clear sky,21.0333,106.7833,khach san Trung lien
423,Mehamn,NO,37.35,few clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
424,Shumskiy,RU,31.89,overcast clouds,54.8318,99.1328,
425,Putina,PE,50.2,scattered clouds,-15.4667,-69.4333,Hotel Isla Suasi
426,Coihueco,CL,54.34,overcast clouds,-36.6167,-71.8333,"Frutillares, Coihueco"
427,Swan Hill,AU,56.05,scattered clouds,-35.3378,143.5544,Lazy River Motor Inn
428,Debre Tabor,ET,50.41,scattered clouds,11.85,38.0167,Bahirdar
429,Xining,CN,41.86,overcast clouds,36.6167,101.7667,Super Leisure Hotel
432,Maldonado,UY,70.23,overcast clouds,-34.6667,-54.9167,La Cimarrona
433,Hermiston,US,64.42,scattered clouds,45.8404,-119.2895,Oxford Suites Hermiston
434,Quatre Cocos,MU,72.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
435,Eskil,TR,47.7,clear sky,38.4017,33.4131,Eskil Öğretmen Evi
436,Maniitsoq,GL,35.1,light snow,65.4167,-52.9,Hotel Heilmann Lyberth
438,Chegdomyn,RU,30.4,clear sky,51.1167,133.0167,Gostinitsa Bureya
439,Syracuse,IT,58.37,clear sky,37.0881,15.2792,Hotel Posta
441,Valdepenas,ES,64.92,overcast clouds,38.7621,-3.3848,Hotel Veracruz Plaza & Spa
442,Akureyri,IS,32.61,overcast clouds,65.6835,-18.0878,Akureyri - Berjaya Iceland Hotels
443,Shieli,KZ,40.66,broken clouds,44.1667,66.75,Gostinitsa Aybek Shieli
444,Warrnambool,AU,54.82,broken clouds,-38.3833,142.4833,Lady Bay Resort
447,Severnyy,RU,46.44,broken clouds,50.677,36.5532,Full House North Mini-Hotel
448,Yongan,CN,45.77,overcast clouds,39.6957,113.6871,Beiyue International Hotel
450,Xuanzhou,CN,58.53,scattered clouds,30.9525,118.7553,Nanfang Hotel
452,Huercal-Overa,ES,66.38,overcast clouds,37.389,-1.9454,Casa Rural Aloe Vera
453,Portland,US,54.99,mist,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
454,Hit,IQ,70.47,broken clouds,33.6416,42.8251,المعلق حسان رزاق
455,Comodoro Rivadavia,AR,53.46,clear sky,-45.8667,-67.5,Austral Hotel
456,Semey,KZ,28.62,broken clouds,50.4111,80.2275,Grand Hotel Semey
457,Vanavara,RU,29.64,overcast clouds,60.34,102.2797,
458,Tignere,CM,66.15,broken clouds,7.3667,12.65,SADECK
459,Salamiyah,SY,64.99,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
460,Arona,ES,70.92,clear sky,28.0996,-16.681,Paradise Court
461,Tooele,US,49.69,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
462,Fort-Shevchenko,KZ,52.84,light rain,44.5086,50.263,Oasis hotel Bautino
466,Uchiza,PE,72.41,overcast clouds,-8.4592,-76.4633,Hotel San Pedro
467,Saint-Augustin,CA,40.42,clear sky,51.226,-58.6502,Riverview Inn
469,Cidreira,BR,68.18,clear sky,-30.1811,-50.2056,Hotel Castelo
471,Kemi,FI,37.17,fog,65.8596,24.8228,
472,Traverse City,US,46.47,few clouds,44.7631,-85.6206,Bayshore Resort
474,Plettenberg Bay,ZA,59.47,broken clouds,-34.0527,23.3716,Thanda Vista B&B
475,Olafsvik,IS,41.25,broken clouds,64.8945,-23.7142,Hotel Olafsvik
476,Wucheng,CN,59.07,overcast clouds,29.6008,118.175,Xiuwu Restaurant
478,Uruzgan,AF,52.41,clear sky,32.8333,66.0,
479,Torrington,US,47.01,overcast clouds,41.8007,-73.1212,Days Inn by Wyndham Torrington
482,Mananjary,MG,72.93,overcast clouds,-21.2167,48.3333,Vahiny Lodge
484,Raudeberg,NO,50.95,overcast clouds,61.9875,5.1352,Nordre Silda.
485,Atok,PH,62.4,light rain,16.5724,120.6808,Our Northern Home Transient House
487,Baykalovo,RU,31.48,overcast clouds,57.3981,63.7684,Gostinitsa Karavan
490,Asosa,ET,60.71,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
491,Nouadhibou,MR,73.72,clear sky,20.931,-17.0347,El Medina
493,Valle De Allende,MX,58.32,clear sky,26.9333,-105.4,Hotel Meson de San Bartolome
494,Khandyga,RU,21.92,light snow,62.6667,135.6,Apel'sin
495,Zarubino,RU,41.85,clear sky,42.63,131.0922,Okean
496,Navahrudak,BY,48.69,broken clouds,53.6,25.8333,Hotel Grazhina
497,Necochea,AR,55.8,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
